WARNING:root:The OGB package is out of date. Your version is 1.3.5, while the latest version is 1.3.6.
Task start time:
2024-07-21 20:30:39
Namespace(All_num_layers=3, MLP1_num_layers=2, MLP2_num_layers=2, MLP3_num_layers=2, MLP4_num_layers=2, MLP_hidden=256, activation='relu', aggregate='mean', batch_size=64, data_dir='pyg_data/ocelot', device=0, dropout=0.0, epochs=150, log_steps=1, lr=0.0001, method='HGNNP', normalization='ln', output_hidden=128, output_num_layers=3, runs=3, seed=0, target=14, wd=0.0)
/home/jwchen/software/anaconda3/envs/mhnn/lib/python3.8/site-packages/torch_geometric/data/in_memory_dataset.py:157: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)

Run No. 1:
Seed: 0

# Params: 374529
Run: 01, Epoch: 48, lr: 0.000033, Loss: 0.432622, Valid MAE: 0.379114, Test MAE: 0.337894
Run: 01, Epoch: 49, lr: 0.000033, Loss: 0.430106, Valid MAE: 0.570442, Test MAE: 0.337894
Run: 01, Epoch: 50, lr: 0.000026, Loss: 0.428404, Valid MAE: 0.380782, Test MAE: 0.337894
Run: 01, Epoch: 51, lr: 0.000026, Loss: 0.425730, Valid MAE: 0.345088, Test MAE: 0.337894
Run: 01, Epoch: 52, lr: 0.000026, Loss: 0.427289, Valid MAE: 0.422720, Test MAE: 0.337894
Run: 01, Epoch: 53, lr: 0.000026, Loss: 0.423634, Valid MAE: 0.342403, Test MAE: 0.337894
Run: 01, Epoch: 54, lr: 0.000026, Loss: 0.428095, Valid MAE: 0.399308, Test MAE: 0.337894
Run: 01, Epoch: 55, lr: 0.000026, Loss: 0.424257, Valid MAE: 0.340756, Test MAE: 0.337894
Run: 01, Epoch: 56, lr: 0.000021, Loss: 0.423459, Valid MAE: 0.332659, Test MAE: 0.334783
Run: 01, Epoch: 57, lr: 0.000021, Loss: 0.421628, Valid MAE: 0.333134, Test MAE: 0.334783
Run: 01, Epoch: 58, lr: 0.000021, Loss: 0.418780, Valid MAE: 0.339899, Test MAE: 0.334783
Run: 01, Epoch: 59, lr: 0.000021, Loss: 0.417880, Valid MAE: 0.382212, Test MAE: 0.334783
Run: 01, Epoch: 60, lr: 0.000021, Loss: 0.417202, Valid MAE: 0.343737, Test MAE: 0.334783
Run: 01, Epoch: 61, lr: 0.000021, Loss: 0.418539, Valid MAE: 0.387502, Test MAE: 0.334783
Run: 01, Epoch: 62, lr: 0.000021, Loss: 0.417621, Valid MAE: 0.339818, Test MAE: 0.334783
Run: 01, Epoch: 63, lr: 0.000017, Loss: 0.413569, Valid MAE: 0.385766, Test MAE: 0.334783
Run: 01, Epoch: 64, lr: 0.000017, Loss: 0.414860, Valid MAE: 0.334096, Test MAE: 0.334783
Run: 01, Epoch: 65, lr: 0.000017, Loss: 0.412188, Valid MAE: 0.349588, Test MAE: 0.334783
Run: 01, Epoch: 66, lr: 0.000017, Loss: 0.415822, Valid MAE: 0.342419, Test MAE: 0.334783
Run: 01, Epoch: 67, lr: 0.000017, Loss: 0.412836, Valid MAE: 0.381099, Test MAE: 0.334783
Run: 01, Epoch: 68, lr: 0.000017, Loss: 0.412373, Valid MAE: 0.386108, Test MAE: 0.334783
Run: 01, Epoch: 69, lr: 0.000013, Loss: 0.410746, Valid MAE: 0.332530, Test MAE: 0.333244
Run: 01, Epoch: 70, lr: 0.000013, Loss: 0.408538, Valid MAE: 0.340476, Test MAE: 0.333244
Run: 01, Epoch: 71, lr: 0.000013, Loss: 0.407716, Valid MAE: 0.339098, Test MAE: 0.333244
